,0
0,the
1,be
2,and
3,i
4,a
5,to
6,it
7,of
8,have
9,!
10,for
11,in
12,we
13,with
14,that
15,but
16,my
17,this
18,you
19,they
20,food
21,on
22,t
23,s
24,not
25,place
26,good
27,so
28,get
29,go
30,at
31,order
32,as
33,great
34,very
35,there
36,like
37,come
38,time
39,service
40,here
41,our
42,all
43,if
44,just
45,out
46,do
47,one
48,their
49,me
50,try
51,make
52,back
53,can
54,or
55,really
56,from
57,would
58,which
59,when
60,up
61,eat
62,about
63,an
64,some
65,will
66,restaurant
67,what
68,love
69,also
70,say
71,take
72,more
73,us
74,chicken
75,only
76,no
77,ve
78,?
79,too
80,even
81,your
82,menu
83,by
84,price
85,wait
86,best
87,nice
88,fry
89,taste
90,because
91,well
92,other
93,don
94,delicious
95,m
96,think
97,table
98,drink
99,want
100,give
101,he
102,look
103,little
104,she
105,after
106,sauce
107,them
108,always
109,than
110,didn
111,pretty
112,dish
113,definitely
114,much
115,know
116,bite
117,first
118,pizza
119,ask
120,friendly
121,staff
122,bar
123,cheese
124,over
125,amaze
126,better
127,could
128,fresh
129,people
130,lunch
131,again
132,experience
133,never
134,salad
135,find
136,meal
137,star
138,serve
139,two
140,side
141,dinner
142,night
143,then
144,off
145,re
146,way
147,sandwich
148,how
149,recommend
150,enjoy
151,everything
152,flavor
153,lot
154,right
155,see
156,burger
157,down
158,ever
159,seat
160,tell
161,sit
162,before
163,still
164,who
165,server
166,wasn
167,cook
168,while
169,any
170,sure
171,small
172,bad
173,few
174,sushi
175,visit
176,d
177,minutes
178,around
179,though
180,vegas
181,roll
182,seem
183,review
184,need
185,leave
186,since
187,hot
188,meat
189,rice
190,both
191,something
192,most
193,ll
194,new
195,day
196,next
197,now
198,her
199,bread
200,soup
201,feel
202,top
203,work
204,area
205,tasty
206,worth
207,portion
208,location
209,many
210,use
211,excellent
212,every
213,thing
214,quality
215,another
216,beef
217,bring
218,atmosphere
219,last
220,long
221,awesome
222,big
223,walk
224,breakfast
225,happy
226,sweet
227,favorite
228,disappoint
229,open
230,check
231,beer
232,steak
233,special
234,enough
235,its
236,waitress
237,where
238,egg
239,nothing
240,expect
241,pork
242,super
243,start
244,end
245,quite
246,pay
247,spicy
248,different
249,should
250,ok
251,into
252,hour
253,spot
254,fish
255,overall
256,perfect
257,offer
258,decide
259,home
260,friend
261,friends
262,however
263,shrimp
264,stop
265,his
266,probably
267,large
268,full
269,same
270,call
271,huge
272,busy
273,dessert
274,keep
275,din
276,away
277,once
278,coffee
279,things
280,actually
281,maybe
282,close
283,each
284,wine
285,selection
286,buffet
287,half
288,clean
289,inside
290,restaurants
291,family
292,decent
293,kind
294,fast
295,why
296,cream
297,put
298,win
299,let
300,add
301,anything
302,room
303,water
304,return
305,house
306,husband
307,grill
308,line
309,free
310,waiter
311,usually
312,these
313,must
314,else
315,size
316,ice
317,plate
318,chip
319,thai
320,wing
321,tacos
322,those
323,items
324,everyone
325,live
326,old
327,fill
328,point
329,guy
330,high
331,outside
332,hard
333,green
334,without
335,quick
336,couple
337,town
338,arrive
339,almost
340,customer
341,group
342,years
343,bacon
344,least
345,fantastic
346,options
347,far
348,especially
349,tea
350,cold
351,include
352,manager
353,rib
354,course
355,three
356,piece
357,party
358,stuff
359,strip
360,light
361,attentive
362,pm
363,share
364,style
365,such
366,fun
367,own
368,die
369,decor
370,dry
371,red
372,during
373,second
374,fan
375,choose
376,finally
377,bean
378,bbq
379,wife
380,name
381,hand
382,kid
383,drive
384,park
385,cake
386,mexican
387,okay
388,absolutely
389,part
390,extra
391,slice
392,cool
393,couldn
394,wonderful
395,surprise
396,although
397,bowl
398,change
399,instead
400,wrong
401,run
402,oh
403,chocolate
404,highly
405,whole
406,show
407,crab
408,either
409,wish
410,yelp
411,hear
412,through
413,burgers
414,perfectly
415,mean
416,crispy
417,finish
