V1,V2,V3
not impress,1.699324708,-2.457049056
not good,1.492494552,-10.00121231
say,0.604904867,-11.2105317
worst,3.309867325,-8.421887662
rather,0.767975244,-4.911317763
overcook,1.809488269,-5.637626917
burn,1.196773376,-8.37863903
basically,0.688086587,-0.069476864
plain,0.606819838,-3.262637365
unpleasant,1.28690683,-12.37235644
didn,0.648302578,-4.831896655
maybe,0.575793145,-4.41951369
not sure,0.617747982,-7.770660859
will,0.598841517,-2.489384256
somewhere,0.774324163,-2.35126914
?,0.780700012,-4.99103219
uh,0.751157156,-2.125007566
gross,2.173292246,-4.628763674
understand,1.260032365,-8.884470721
feet,0.533545743,-5.522174612
guess,0.829934427,-6.398385307
apparently,1.128796326,-2.9029209
us,0.505723808,-6.510988787
problem,0.688748354,-4.690348838
walk,0.553613486,-5.782086652
everywhere,0.516969675,-5.388946713
customers,1.122748472,-8.154508218
due,0.589541315,-8.698329295
slimy,0.869540098,-2.26965244
put,0.647348456,-1.497972553
effort,0.876618682,0.712272656
listen,1.017112146,-5.314357247
bagel,0.538940618,-0.859518968
pass,0.574882043,-8.322541349
instead,0.716447887,-2.794892771
leave,0.834645595,-4.420534479
half,0.571409399,-7.465015973
wrong,0.756124118,-3.401992103
comped,0.619148589,-7.033971707
par,0.759744815,-8.318318268
else,0.504067523,-7.874603557
waste,2.052636592,-3.981105514
business,0.545305254,-5.968341519
nobody,1.457880847,-7.299519419
wash,0.865542796,-6.380819219
waitress,0.917994304,-4.176756126
none,0.724709048,-3.501622286
finally,0.989094351,-7.671813148
menus,0.731904451,-4.683337592
ask,1.015506157,-0.181904731
reply,1.549193971,-7.576841616
tell,1.089056878,-5.467708968
her,1.085550389,-3.868204417
charge,1.471840937,-0.694230921
okay,0.836893978,-1.694440853
not busy,0.876989444,-2.861564702
fine,0.688625695,-6.547727645
call,0.903871224,0.464884617
rate,0.525928935,-3.687686145
zero,1.875471068,-3.593134012
coupon,0.84508603,-4.635238189
figure,0.781248307,-6.09599768
money,1.304100032,-7.464536884
claim,1.246826762,-1.922627303
trouble,0.523908625,-3.047259129
disappointment,1.488385353,-7.703613913
not go,1.565353448,0.683612442
write,0.657177062,-5.12754095
except,0.57293139,-5.35273737
saw,0.577163647,-1.359618474
already,0.539458764,-3.581262367
girl,1.001672599,-4.478601818
speak,0.775145929,-3.840348676
average,0.615789923,-3.515679643
smallest,0.689337469,-2.751155362
cost,0.565823481,-9.030545837
pay,1.155507246,-10.44830197
spend,0.705562856,-4.227178295
not even,1.981697698,-5.311176886
annoy,1.028692838,-5.695814092
unappealing,0.678635315,-6.779378359
smell,0.831800973,-6.717422156
dry,0.895371181,-6.310750958
sick,1.937431132,-5.433320352
least,0.552166918,-5.798260735
ok,1.027412475,-3.467034133
not place,0.687127633,-6.593685831
disappoint,0.518876516,-2.154863201
kitchen,0.521846713,-6.723457431
cold,1.079730657,-5.149460301
impression,0.698622384,-3.08085913
another,0.720133073,-4.704192426
lobby,0.659195923,-2.653901207
lack,1.037195239,-2.773364349
ill,0.90328944,-0.47009117
tonight,0.67662548,-1.790763018
correctly,0.842269095,-3.988143997
awful,2.79175973,-6.02232484
cashier,1.281187279,-2.025307033
rude,2.732119857,-4.58016665
hi,0.733577785,-0.290523262
freeze,1.054945183,-6.624292244
bag,0.920109652,-2.840597999
employee,1.590624181,0.442976438
answer,0.839463446,-4.979257671
bits,0.607487265,-0.496987557
not make,1.396689749,-1.572838519
employees,0.744859958,-3.616312263
angry,1.582767649,0.286983925
bad,0.986019435,-3.937575688
not work,0.554588555,-6.840441048
box,0.678470383,-3.752085156
stand,0.725325446,-5.940942774
purchase,1.038528976,-3.408541921
notice,0.572715396,-1.548396715
begin,0.764310577,-7.977219986
poorly,1.86467407,-1.598166749
lady,1.031812283,-4.166276884
should,0.857302201,-5.471184685
disgust,2.531930937,-3.88819052
water,0.734032089,0.555717594
soap,0.56772657,-4.206667964
vomit,1.046840062,-2.386736821
possible,0.625345292,-1.015117896
issue,0.906625578,-5.839731969
track,0.619880675,-0.628844878
minutes,1.350931949,0.28559211
turn,0.69584039,-0.778073289
alright,0.710518674,-2.234356308
customer,0.967381131,-1.243662271
print,0.849731667,0.023134423
arrive,0.866767245,-6.480003294
someone,0.969508742,-2.064331272
groupon,0.825276091,-0.400906709
tiny,0.551056527,0.210822641
buy,0.5791882,-0.703246142
total,0.804006961,-1.787869564
schedule,0.75255176,-3.294061494
hop,0.884632354,-3.317902778
specifically,0.879410481,-6.037863714
return,0.555973202,-1.558074174
previously,0.508537722,-0.314140431
contact,2.270932639,-2.348186576
positive,0.839635904,-1.90350945
strike,0.914079843,-2.611267978
greasy,0.69315513,-3.828490565
remove,1.244176755,-0.581002354
barely,1.658219645,-4.364478843
acceptable,1.058111817,-5.465015358
overprice,1.882515474,-6.976138009
hire,1.620147278,-1.146100509
train,1.022623035,-5.722915737
managers,1.267875333,-3.825483825
cash,0.538760494,-6.101184579
register,1.02794096,-5.214284006
frustrate,1.287139802,-2.006171526
his,0.514066014,-3.209004536
hair,1.681144484,-4.312854041
manager,1.502406388,-0.626846353
argue,1.592248083,-4.086099253
ignore,2.145527512,-1.965261853
management,1.663003832,-5.779612409
behavior,0.743125737,-2.840833614
female,1.087296464,0.135105631
terrible,2.878814924,-1.38529286
not refill,0.563140771,-2.800354916
refill,0.709090516,-3.168171672
forever,1.161450232,-3.758788253
bill,1.39610516,-5.998679904
phone,1.330728238,-1.547212854
appear,0.793431047,-1.001559539
manage,0.608482238,-0.201371452
state,1.024784314,-1.125708866
lettuce,0.699282074,-1.569671642
inedible,1.762014043,-4.26144301
person,0.538278786,-7.237875603
somehow,0.600490222,-5.865933623
window,0.721891223,-4.96895389
sadly,1.297120688,-2.40701068
not take,0.742153421,-6.64577137
batch,1.078427374,-0.827909577
nose,0.570323898,-4.010487335
anybody,0.56754992,0.975236906
ketchup,0.72423142,0.038913449
shape,0.565401909,-2.395235812
hardly,1.345602011,0.255205197
anyone,0.545940938,-2.231863646
painfully,0.566914335,-3.020236538
slow,0.990718983,-0.15491886
not worth,2.330811892,-3.841687548
ridiculous,1.528086772,-2.145663223
dirty,1.906807542,-3.805590744
acknowledge,2.029513128,-4.258626018
raw,0.819323242,-0.006037595
hype,0.678661099,-3.264507659
min,1.531487833,-3.952336748
flag,1.431543753,-5.690604854
rotten,0.944949489,-5.503636434
waiter,0.635723094,-1.830656711
happen,1.01025002,-1.387544313
laugh,0.66217106,-4.224904716
not all,0.550515832,-4.016458072
not back,1.863980579,-4.483335399
irritate,1.025959253,-2.055716855
fail,1.103152133,-4.557291816
empty,1.195653635,-3.207004669
push,0.731673172,-0.901129667
unacceptable,1.943829433,-2.857437675
ruin,1.762107955,-0.454178421
industry,1.567637911,-4.358439917
tolerate,0.598262896,-3.654978744
continue,0.541310075,-0.589988661
post,0.503478034,-1.005259801
completely,0.957646991,-5.292670498
bland,1.855793472,0.341028898
not friendly,1.279505022,-1.268789203
tip,0.859457295,-4.674488627
poor,2.344240072,-4.645200747
impossible,1.029293526,-0.987586961
him,1.107613753,-3.374380844
rat,0.636234229,-1.203512017
excite,0.517593019,-2.032936008
additional,0.518281641,-1.126593226
not eat,1.477611696,-1.315884445
not find,0.676020078,0.777371554
machine,0.590626159,-1.896913304
counter,0.573963085,0.696841512
confuse,0.839110076,-1.262838841
soda,0.561716471,0.456418399
nothing,0.686655498,-0.851292651
process,0.859097779,-2.200240273
filthy,1.56991631,-2.744421122
wipe,1.142474023,-4.838989087
nie,0.527008581,-1.720745335
nope,1.64470086,-3.196038033
dead,1.108443012,-4.277932886
shortly,1.009543433,-4.23991925
booth,0.575809433,-5.229372068
guest,0.897985686,-0.103529296
not case,0.882377522,-2.498500678
ghetto,0.657767776,-0.293458859
correct,0.978178737,-1.716338425
send,1.46970722,-1.894828634
manger,0.561723124,-1.961184797
bottom,0.587076623,-1.001425208
mad,0.623789907,0.914138253
cafeteria,0.814349383,-0.854565792
bathroom,0.537783666,0.218998918
temperature,0.779796237,0.672803915
degrees,0.50668786,-4.907258464
not one,0.766069609,-1.369502207
not food,0.53457836,-0.159519609
worker,0.570773498,-0.364533036
condescend,1.127467704,-0.836827287
not want,1.521146645,-4.253743199
mess,1.628960785,0.053428608
advise,1.532677986,-3.976285475
never eat,1.332214867,-1.725037835
not great,0.810270227,-0.929519614
behind,0.734249333,0.938964669
possibly,0.510250678,0.584965638
boat,0.587213059,-1.762425696
policy,0.911100607,-0.487235255
never get,0.977365055,-0.675524745
woman,1.03207532,-0.773105809
card,0.975307897,0.744220638
spare,0.607380879,-0.351949137
unfortunately,1.288257185,-1.134433935
not know,0.888328165,-3.678633689
attitude,1.683902813,-1.821575877
horrible,3.083875258,-3.614070748
avoid,1.164054806,-2.25219906
unless,0.823257854,0.446012895
product,0.654832867,-2.082124069
warn,0.760338767,-3.430961172
story,0.895780467,-0.991042789
literally,0.995946973,-0.693005627
wonder,0.94793358,-2.565848135
receive,1.223513825,-3.498919941
inch,0.775618764,0.500075369
rip,1.791378689,-2.946695666
never say,0.672122092,-1.508951121
clear,0.942683743,-0.553935283
never order,1.183540754,-1.967796281
obviously,0.920833067,-2.337612195
wont,1.159944887,-4.124753919
anymore,0.971646371,-2.359139349
store,0.602564953,-3.228968124
occupy,1.000142125,-0.431676116
cardboard,1.116057385,-1.261903755
floor,0.571409576,0.748711536
till,1.000103136,-0.260106172
bartender,0.600066779,0.101920393
never back,1.190850259,0.355462059
plastic,1.21629815,0.368871749
act,1.63247024,-0.789470395
inconvenience,1.313027617,0.394466947
tab,1.494394512,-0.602504241
dont,0.806308137,-1.254566236
drop,0.702483429,0.925066261
boil,0.568778993,-0.312714309
hassle,0.898965073,-1.962458449
front,0.531837935,-1.059613929
mistake,1.254297061,-1.245922915
resemble,0.666790089,-0.389311863
mold,0.530885054,-4.243877309
likely,0.63789423,-2.880857736
mongolian,0.682852897,-2.554206716
credit,1.467669866,-1.47677701
handle,0.892914825,-5.632100368
security,1.291897546,-4.321349108
notify,0.777623559,-3.2131039
control,0.937050904,-0.020849947
later,0.930313649,-0.393286449
question,0.692012475,-0.774569059
war,0.618503022,-1.304158984
men,0.607000711,-2.242423947
