,0
0,169
1,859
2,23692
3,11744
4,304
5,14270
6,581
7,19883
8,1479
9,15297
10,283
11,3509
12,7052
13,294
14,6972
15,5855
16,6606
17,731
18,3139
19,748
20,1058
21,1317
22,303
23,235
24,5857
25,428
26,2667
27,13339
28,272
29,3024
30,2426
31,4521
32,979
33,1313
34,4122
35,752
36,1253
37,98
38,5051
39,5218
40,990
41,4084
42,422
43,7911
44,338
45,100
46,6
47,526
48,3112
49,68
50,4560
51,1079
52,92
53,16698
54,1190
55,3507
56,1687
57,1735
58,193
59,695
60,2959
61,202
62,3806
63,496
64,20183
65,2
66,41282
67,8616
68,9404
69,2473
70,14
71,349
72,6185
73,12844
74,6
75,6403
76,41
77,388
78,300
79,1659
80,629
81,50
82,2
83,27
84,2853
85,114
86,3809
87,1202
88,5346
89,17444
90,706
91,1577
92,2735
93,926
94,929
95,919
96,547
97,795
98,4482
99,3019
100,1430
101,31
102,1614
103,3943
104,933
105,62
106,875
107,5394
108,294
109,276
110,323
111,1009
112,2612
113,1008
114,249
115,6741
116,4325
117,819
118,607
119,22
120,6119
121,322
122,1249
123,663
124,2133
125,715
126,200
127,109
128,608
129,667
130,2844
131,987
132,2469
133,1
134,2583
135,2091
136,812
137,10167
138,1113
139,4428
140,21
141,1412
142,2270
143,2205
144,1259
145,425
146,4404
147,5919
148,4286
149,786
150,5875
151,51
152,478
153,377
154,2525
155,2399
156,209
157,8909
158,1189
159,3177
160,6
161,5229
162,829
163,175
164,5365
165,38
166,430
167,449
168,40
169,459
170,251
171,60
172,1123
173,9
174,1002
175,2758
176,129
177,5931
178,1137
179,192
180,485
181,1384
182,732
183,5560
184,8
185,500
186,2563
187,43
188,12313
189,450
190,4642
191,3871
192,635
193,1228
194,117
195,2370
196,359
197,56
198,5796
199,1618
200,539
201,2348
202,2985
203,3310
204,2055
205,673
206,1129
207,44
208,203
209,457
210,4108
211,865
212,100
213,95
214,3285
215,610
216,1241
217,488
218,2850
219,545
220,274
221,1938
222,91
223,785
224,1
225,29
226,74
227,6841
228,79
229,1510
230,1743
231,156
232,202
233,7224
234,388
235,225
236,1480
237,133
238,261
239,2421
240,79
241,13
242,538
243,508
244,553
245,8483
246,763
247,1860
248,30
249,3438
250,791
251,1922
252,634
253,14
254,32
255,178
256,42
257,533
258,276
259,2257
260,136
261,125
262,1
263,211
264,6
265,3296
266,2069
267,1000
268,232
269,519
270,4393
271,73
272,1237
273,1126
274,165
275,5637
276,2427
277,1815
278,1166
279,230
280,624
281,335
282,161
283,61
284,161
285,10
286,829
287,1183
288,46
289,8
290,274
291,492
292,889
293,121
294,5
295,675
296,304
297,1226
298,21
299,559
300,617
301,1
302,120
303,3381
304,933
305,6
306,416
307,498
308,555
309,41
310,2
311,389
312,503
313,402
314,3544
315,404
316,741
317,37
318,1069
319,967
320,6915
321,583
322,1
323,2733
324,35
325,10
326,1605
327,1918
328,3097
329,2724
330,1016
331,1082
332,300
333,999
334,5
335,1591
336,3131
337,535
338,1771
339,5590
340,13344
341,1
342,570
343,1008
344,1212
345,12391
346,6
347,1826
348,1925
349,41
350,6
351,82
